12/04/2020, 15:27:31	12/04/2020, 00:04:00	Businesswire Funding	Ondas Holdings Inc. Announces Pricing of $30 Million Follow-On Public Offering of Common Stock	http://www.businesswire.com/news/home/20201203006133/en/Ondas-Holdings-Inc.-Announces-Pricing-of-30-Million-Follow-On-Public-Offering-of-Common-Stock/	SUNNYVALE, Calif.--(BUSINESS WIRE)--Ondas Holdings prices $30 million offering; begins trading on the Nasdaq Capital Market at market open tomorrow	(Possible_Funding /IPOs)	Not Computed	('Ondas Holdings Inc.', 'ORG')('$30 Million', 'MONEY')('Follow-', 'ORG')	-
12/04/2020, 15:27:31	12/04/2020, 03:44:00	Businesswire IPO	Silverback Therapeutics Announces Pricing of Initial Public Offering	http://www.businesswire.com/news/home/20201203006151/en/Silverback-Therapeutics-Announces-Pricing-of-Initial-Public-Offering/	SEATTLE--(BUSINESS WIRE)--Silverback Therapeutics, Inc. (“Silverback”), a clinical-stage biopharmaceutical company leveraging its proprietary ImmunoTAC technology platform to develop systemically delivered, tissue targeted therapeutics for the treatment of cancer, chronic viral infections, and other serious diseases, today announced the pricing of its initial public offering of 11,500,000 shares of its common stock at a price to the public of $21.00 per share. The gross proceeds to Silverback f	(IPOs)	Not Computed		-
12/04/2020, 15:27:31	12/03/2020, 13:00:00	Businesswire IPO	Certara Announces Launch of Initial Public Offering	http://www.businesswire.com/news/home/20201203005233/en/Certara-Announces-Launch-of-Initial-Public-Offering/	PRINCETON, N.J.--(BUSINESS WIRE)--Certara today announced the launch of its initial public offering of its common stock pursuant to a registration statement filed with the SEC.	(IPOs)	Not Computed		-
12/04/2020, 15:27:32	12/04/2020, 15:57:30	Techcruch	DoorDash amps its IPO range ahead of blockbuster IPO	http://feedproxy.google.com/~r/Techcrunch/~3/WqldPJvbIHY/	DoorDash filed a fresh S-1/A, providing the market with a new price range for its impending IPO. The American food delivery unicorn now expects to debut at $90 to $95 per share, up from a previous range of $75 to $85. That&#8217;s a bump of 20% on the low end and 12% on the upper [&#8230;]	(IPOs)	Not Computed		-
12/04/2020, 15:27:39	12/04/2020, 19:33:36	BusinessJournal	The week in bankruptcies: Two local companies file for protection	https://www.bizjournals.com/boston/news/2020/12/04/the-week-in-bankruptcies-maguire-kennel-inc-and-advanced-molar-innovation-inc.html?ana=brss_1028	This week in Boston business bankruptcies include Maguire Kennel Inc. and Advanced Molar Innovation Inc.. For the year, Boston has recorded 91 business bankruptcy filings.	(Bankruptcy)	Not Computed	('The week', 'DATE')('Two', 'CARDINAL')	-
12/04/2020, 15:27:39	12/04/2020, 19:29:11	BusinessJournal	Protein analyzer Seer sees shares sizzle after upsized IPO	https://www.bizjournals.com/sanfrancisco/news/2020/12/04/seer-ipo-proteomics-protein-analysis-softbank.html?ana=brss_1028	The company has likened its technology's impact on protein research to the genomics revolution initiated by Illumina's next-generation sequencing machines.	(IPOs)	Not Computed	('Seer', 'ORG')	-
12/04/2020, 15:27:39	12/04/2020, 16:59:13	BusinessJournal	DoorDash raises IPO pricing range, eyes $30B valuation	https://www.bizjournals.com/sanjose/news/2020/12/04/doordash-raises-ipo-range-eyes-30b-valuation.html?ana=brss_1028	Facing strong investor demand, the online food delivery and takeout company raises its pricing range by a hefty margin.	(Funding /IPOs)	Not Computed	('30B', 'MONEY')	-
12/04/2020, 15:27:39	12/04/2020, 16:20:18	BusinessJournal	DoorDash raises IPO pricing range, eyes $30 billion valuation	https://www.bizjournals.com/sanfrancisco/news/2020/12/04/doordash-raises-ipo-range-eyes-30b-valuation.html?ana=brss_1028	Facing strong investor demand, the online food delivery and takeout company raises its pricing range by a hefty margin.	(Funding /IPOs)	Not Computed	('$30 billion', 'MONEY')	-
12/04/2020, 15:27:39	12/04/2020, 16:06:20	BusinessJournal	Bay Area bio-analysis business Seer tops $1B valuation in $175M IPO	https://www.bizjournals.com/sanfrancisco/news/2020/12/04/seer-raises-175m-in-upsized-ipo.html?ana=brss_1028	The company entered its first day on Nasdaq with an initial valuation of about $1.1 billion, nearly four times the valuation it got in a May funding.	(IPOs)	Not Computed	('Bay Area', 'LOC')('Seer', 'PRODUCT')('$1B valuation', 'MONEY')('175', 'MONEY')	-
12/04/2020, 15:27:39	12/04/2020, 16:02:40	BusinessJournal	Ex-Google exec’s lending startup Upstart seeks unicorn valuation in IPO	https://www.bizjournals.com/sanfrancisco/news/2020/12/04/upstart-holdings-sets-terms-for-ipo.html?ana=brss_1028	The San Mateo company led by former Google Enterprise President Dave Girouard would be valued at $1.6 billion at the top of its IPO targets, more than double where it was valued 18 months ago.	(IPOs)	Not Computed	('Ex-Google', 'PERSON')	-
12/04/2020, 15:27:39	12/04/2020, 15:48:17	BusinessJournal	Francesca's files Chapter 11 bankruptcy, plans to sell company to investor	https://www.bizjournals.com/phoenix/news/2020/12/04/francescas-bankruptcy-auction-sale.html?ana=brss_1028	“Implementing this process allows Francesca’s to address our lease obligations and seek a new investor that can see Francesca’s into the future," said Francesca's CEO Andrew Clarke, adding that the process will allow the company to "continue to focus on our omni-channel strategies, optimize our boutique fleet, broaden our customer reach with brand extensions and drive sustainable, profitable growth."	(Bankruptcy)	Not Computed	('Francesca', 'PERSON')('Chapter 11', 'LAW')	-
