title,link
"Abacus.AI raises $22 million to automate AI model creation, deployment, and maintenance",https://venturebeat.com/2020/11/18/abacus-ai-raises-22-million-to-automate-ai-model-creation-deployment-and-maintenance/
Abnormal Security Raises $50M in Series B Funding,https://www.finsmes.com/2020/11/abnormal-security-a-san-francisco-ca-based-next-generation-email-security-company-raised-50m-in-series-b-venture-capital-funding.html
Accenture invests in KC data privacy company TripleBlind,https://www.bizjournals.com/kansascity/news/2020/11/19/triple-blind-investment-accenture.html?ana=brss_1028
Aclima Series B to Accelerate Climate Innovation for Clean Air and Public Health,http://www.businesswire.com/news/home/20201119005568/en/Aclima-Series-B-to-Accelerate-Climate-Innovation-for-Clean-Air-and-Public-Health/
Addepar Gains $117M in Series E Funding,https://vcnewsdaily.com/addepar/venture-capital-funding/whlzpccjct
Afresh Announces $13M Series A Extension,https://vcnewsdaily.com/afresh-technologies/venture-capital-funding/jbhbkqfqwc
AI21 Labs Raises $34.5 Million Led by Pitango First,http://www.businesswire.com/news/home/20201119005794/en/AI21-Labs-Raises-34.5-Million-Led-by-Pitango-First/
"AI21 Labs, a natural language processing startup, raised $34.5 million in funding. Pitango First led the round and was joined by investors including TPY Capital.",https://www.crunchbase.com/organization/ai21
"AllRight, an English language learning app for children, raises $5M from Genesis Investments",http://feedproxy.google.com/~r/Techcrunch/~3/mjbqSSwMkwo/
American Family Insurance invests in Mumbai-based insurance tech startup Turtlemint,https://www.bizjournals.com/milwaukee/news/2020/11/19/american-family-invests-in-mumbai-based-startup.html?ana=brss_1028
Amicus.io Raises $8.7M in Series B Funding,https://www.finsmes.com/2020/11/amicus-io-raises-8-7m-in-series-b-funding.html
Apprentice.io Receives $24M Series B Round,https://vcnewsdaily.com/apprentice.io/venture-capital-funding/hlffjnzkwg
"Aya Payments, a Toronto-based healthcare payments startup, raised $2.9 million in funding. MaRS Investment Accelerator Fund and Luge Capital led the round and was joined by investors including Anthemis Group, BDC Capital, and StandUp Ventures.",https://www.crunchbase.com/organization/aya-payments
