,time_scraped,time_published,source,title,link,text
12,"11/19/2020, 17:41:10","11/19/2020, 12:52:30",FinSME,"Omni World Holdings, Interview with Chairman Eric Schaer",https://www.finsmes.com/2020/11/omni-world-holdings-interview-with-chairman-eric-schaer.html,"Omni World Holdings, an Azerbaijan-based company and pioneer of investment solutions in the CIS and GCC states in areas of natural resources, tourism and finance, is currently expanding its focus to include the UAE. In conjunction with the announcement, Eric Schaer, Chairman and CEO, answered our questions about the company, their solutions and future plans. [&#8230;]The post Omni World Holdings, Interview with Chairman Eric Schaer appeared first on FinSMEs."
36,"11/19/2020, 17:41:10","11/19/2020, 14:09:00",Businesswire Merger,Strong Close to Fiscal Year as UKG Approaches $3 Billion in Revenue,http://www.businesswire.com/news/home/20201119005662/en/Strong-Close-to-Fiscal-Year-as-UKG-Approaches-3-Billion-in-Revenue/,"LOWELL, Mass. & WESTON, Fla.--(BUSINESS WIRE)-- #HCM--Marking six months since the Kronos and Ultimate merger closed, newly branded UKG announces a strong end to Fiscal 2020, approaching $3B in revenue."
45,"11/19/2020, 17:41:10","11/19/2020, 11:30:00",Businesswire Merger,Service Champions Expands Footprint to Los Angeles and Riverside,http://www.businesswire.com/news/home/20201119005380/en/Service-Champions-Expands-Footprint-to-Los-Angeles-and-Riverside/,"DALLAS--(BUSINESS WIRE)--CenterOak Partners LLC (“CenterOak”), a Dallas-based private equity firm, today announced that its portfolio company Service Champions (the “Company”) has acquired Adeedo! (“Adeedo”), JW Plumbing Heating &amp; Air (“JW”) and A-Avis Home Services (“A-Avis”), three market-leading home services brands serving the Los Angeles and Riverside, California markets. Including these transactions, Service Champions has completed eight acquisitions since CenterOak’s initial investme"
47,"11/19/2020, 17:41:10","11/19/2020, 09:33:00",Businesswire Merger,"Veolia Will Recover All of Its Rights No Later Than February 5, 2021",http://www.businesswire.com/news/home/20201119005572/en/Veolia-Will-Recover-All-of-Its-Rights-No-Later-Than-February-5-2021/,"PARIS--(BUSINESS WIRE)--Suez Merger Project: Veolia will recover all of its rights no later than February 5, 2021."
57,"11/19/2020, 17:41:11","11/19/2020, 18:19:00",Businesswire Funding,Satispay haalt 93 miljoen euro op om internationale groei verder te zetten,http://www.businesswire.com/news/home/20201119006140/nl/,"MILAN--(BUSINESS WIRE)--Satispay, de Italiaanse fintech startup die voor een revolutie zorgt in de mobiele betaalsector, maakt een wereldwijde Serie C-financiering van 93 miljoen euro bekend. Het gaat om 68 miljoen euro aan kapitaalverhoging door aankoop van nieuw uitgegeven aandelen en 25 miljoen euro uit aankoop van aandelen van bestaande investeerders. Met de afsluiting van deze ronde heeft Satispay, sinds zijn oprichting in 2013, nu een totaal van €110 miljoen aan investeringen bereikt. Tij"
65,"11/19/2020, 17:41:11","11/19/2020, 14:07:00",Businesswire Funding,OLB’s CrowdPay Facilitates SMB Crowdfunding Under New SEC Rules,http://www.businesswire.com/news/home/20201119005808/en/OLB%E2%80%99s-CrowdPay-Facilitates-SMB-Crowdfunding-Under-New-SEC-Rules/,"NEW YORK--(BUSINESS WIRE)---- $applepay #3DSecure--The OLB Group, Inc. (NASDAQ: OLB), a provider of cloud-based omnicommerce and payment acceptance solutions and secure investment vehicles for small- and mid-sized merchants, announced its CrowdPay cloud funding platform for issuers and broker-dealers simplifies capital raise activities for small- and medium-sized businesses in compliance with recently updated Securities and Exchange Commission (SEC) rules. CrowdPay is a scalable turnkey software platform for equity cr"
67,"11/19/2020, 17:41:11","11/19/2020, 14:00:00",Businesswire Funding,Tackling Sugar Consumption &amp; Rising Blood Sugar: Mission-Focused Investors Back New Wellness Brand Sugarbreak,http://www.businesswire.com/news/home/20201119005337/en/Tackling-Sugar-Consumption-Rising-Blood-Sugar-Mission-Focused-Investors-Back-New-Wellness-Brand-Sugarbreak/,"NEW YORK--(BUSINESS WIRE)--Sugarbreak, the first all natural, complete solution to help reduce sugar consumption and promote healthy blood sugar management, has raised nearly $3 million in its latest round of funding. This round included exclusively mission-focused investors: SKAGEN Conscience Capital (Method), Bronze (LendUp, Promise, Virta Health), BBG Ventures (LOLA, The Wing, Zola) and Sorven Capital. Funding will be utilized towards expanding availability and product development as the bra"
96,"11/19/2020, 17:41:12","11/19/2020, 07:30:00",Businesswire Divestiture,Eutelsat engage la cession de sa participation dans Euro Broadband Infrastructure,http://www.businesswire.com/news/home/20201118006184/fr/,"PARIS--(BUSINESS WIRE)--Regulatory News: Eutelsat Communications (Paris:ETL) (Euronext Paris : ETL) annonce la signature d’un accord portant sur la cession de la participation de 51% qu'elle détient dans Euro Broadband Infrastructure (EBI), la société exploitant le satellite KA SAT et ses activités de haut débit en Europe à Viasat Inc, son actionnaire à hauteur de 49%, pour un montant initial de 140 millions d'euros. Cette opération parachève le processus de réorganisation et de simplification"
97,"11/19/2020, 17:41:12","11/18/2020, 16:00:00",Businesswire Divestiture,Sierra Wireless Completes Divestiture of Automotive Embedded Module Product Line,http://www.businesswire.com/news/home/20201118005832/en/Sierra-Wireless-Completes-Divestiture-of-Automotive-Embedded-Module-Product-Line/,"VANCOUVER, British Columbia--(BUSINESS WIRE)--Sierra Wireless has completed the sale of its Shenzhen, China-based automotive embedded module product line to Rolling Wireless for US$165 million."
99,"11/19/2020, 17:41:12","11/19/2020, 21:49:05",Techcruch,Fintech unicorn Affirm has a lot of eggs in one basket,http://feedproxy.google.com/~r/Techcrunch/~3/rYa4cbtQ7IY/,"Hello and welcome back to Equity, TechCrunch’s venture capital-focused podcast (now on Twitter!), where we unpack the numbers behind the headlines. This week wound being incredibly busy. What else would a week that included both the Airbnb and Affirm IPO filings, a host of mega-rounds for new unicorns, some fascinating smaller funding events, and some new [&#8230;]"
